Locales 	Average time =	Average rate =
1	0.1701	13.14
2	0.3613	12.37
4	0.4334	20.63
8	0.5066	35.30
16	0.5663	63.16
32	0.6492	110.17
64	0.7231	197.82
128	0.8168	350.28
256	1.1100	515.49
