Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0622	128.56	0.0622	128.55	0.0614	130.31	0.0613	130.40
2	0.0624	256.23	0.0638	250.75	0.0618	258.84	0.0617	259.37
4	0.0624	513.10	0.0638	501.75	0.0617	518.86	0.0623	513.82
8	0.0628	1018.48	0.0638	1003.81	0.0617	1036.67	0.0619	1033.55
16	0.0628	2036.67	0.0635	2015.37	0.0620	2064.01	0.0619	2069.51
32	0.0627	4084.27	0.0643	3981.30	0.0623	4108.90	0.0621	4125.00
64	0.0628	8151.58	0.0638	8026.66	0.0621	8241.42	0.0619	8273.01
128	0.0629	16275.72	0.0644	15893.51	0.0624	16399.39	0.0623	16436.79
256	0.0719	28480.18	0.0648	31591.33	0.0659	31082.97	0.0697	29370.01
