Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0064	116.13	0.0064	116.88	0.0063	118.40	0.0063	118.91
2	0.0067	223.83	0.0067	223.50	0.0066	227.32	0.0066	227.37
4	0.0067	445.87	0.0067	446.23	0.0066	453.90	0.0066	454.87
8	0.0067	892.21	0.0068	876.15	0.0065	911.83	0.0065	914.08
16	0.0067	1768.07	0.0069	1721.23	0.0066	1803.17	0.0066	1811.57
32	0.0068	3511.24	0.0070	3400.82	0.0066	3590.06	0.0066	3590.60
64	0.0075	6353.37	0.0070	6859.10	0.0068	7055.71	0.0068	7063.23
128	0.0085	11178.02	0.0084	11417.86	0.0088	10821.14	0.0070	13577.89
256	0.0099	19278.89	0.0089	21550.18	0.0089	21502.39	0.0094	20341.31
