Locales 	cumsum Average time =	cumsum Average rate =	cumprod Average time =	cumprod Average rate =
1	0.1277	11.67	0.1123	13.26
2	0.1877	15.88	0.1940	15.36
4	0.1995	29.88	0.2060	28.94
8	0.2074	57.47	0.2220	53.70
16	0.2196	108.57	0.2305	103.42
32	0.2348	203.12	0.2434	195.90
64	0.2566	371.65	0.2687	354.91
128	0.3124	610.60	0.3223	591.84
256	0.4482	851.19	0.4421	862.95
