Locales 	cumsum Average time =	cumsum Average rate =	cumprod Average time =	cumprod Average rate =
1	1.7077	9.37	1.2024	13.31
2	1.1473	27.89	1.4862	21.53
4	1.3024	49.14	1.6800	38.09
8	1.4433	88.68	1.8680	68.52
16	1.5946	160.54	1.7186	148.95
32	1.6449	311.26	1.8286	280.00
64	1.2704	806.05	1.8581	551.11
128	1.3139	1558.71	1.8893	1083.98
256	1.7253	2374.08	1.9973	2050.75
