Locales 	Average time =	Average rate =
1	1.8261	13.14
2	0.9767	49.14
4	0.9776	98.20
8	0.9834	195.24
16	0.9911	387.46
32	0.9973	770.10
64	1.0032	1531.14
128	1.0106	3039.74
256	1.0189	6029.93
