Locales 	total time	perf 
1	0.1608	13.90
2	0.1286	34.77
4	0.1675	53.36
8	0.1773	100.86
16	0.1965	182.00
32	0.2178	328.37
64	0.2204	649.09
128	0.3159	905.73
256	0.5376	1064.39
512	0.9992	1145.30
