Locales 	total time	perf 
1	19.7884	0.4043
2	46.3933	0.6898
4	51.3085	1.2474
8	57.9069	2.2104
16	60.0003	4.2666
32	61.2503	8.3591
64	62.3387	16.4264
128	64.8144	31.5979
256	73.0437	56.0760
512	75.9821	107.8149
