Locales 	total time	perf 
1	1.8852	0.3952
2	2.4897	0.5985
4	2.9363	1.0150
8	3.0677	1.9430
16	3.4278	3.4777
32	3.6161	6.5932
64	3.7313	12.7795
128	4.1967	22.7245
256	5.1884	36.7615
512	6.8728	55.5042
