Locales 	total time	perf 
1	13.8833	3.46
2	31.5524	3.04
4	48.6254	3.95
8	60.5887	6.34
16	73.0829	10.51
32	84.7498	18.12
64	88.6554	34.65
128	84.1196	73.04
256	78.0590	157.42
512	78.8764	311.58
