Locales 	total time	perf 
1	3.2754	14.65
2	2.3368	41.08
4	2.2084	86.94
8	2.2266	172.46
16	2.2655	339.00
32	2.3380	656.97
64	2.3982	1280.94
128	2.5435	2415.58
256	2.7536	4462.60
512	3.2333	7600.84
