Locales 	total time	perf 
1	0.2355	9.49
2	0.5647	7.92
4	0.8121	11.01
8	0.6915	25.86
16	0.7212	49.58
32	0.8023	89.15
64	0.8468	168.92
128	0.9022	317.13
256	1.0169	562.69
512	1.1192	1022.51
