Locales 	total time	perf 
1	5.1484	9.32
2	9.7077	9.89
4	11.7143	16.39
8	13.1543	29.19
16	14.6606	52.39
32	15.9546	96.27
64	17.1663	178.96
128	17.6713	347.68
256	18.4698	665.30
512	19.3421	1270.60
