Locales 	Average time =	Average rate =
1	0.1817	12.30
2	0.1366	32.72
4	0.1753	51.00
8	0.1839	97.22
16	0.2157	165.77
32	0.1880	380.55
64	0.2198	650.83
128	0.3293	868.70
256	0.5464	1047.16
512	0.9904	1155.52
