Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0624	128.22	0.0633	126.46	0.0617	129.66	0.0617	129.70
2	0.0632	253.28	0.0643	248.64	0.0619	258.34	0.0617	259.41
4	0.0631	507.03	0.0642	498.74	0.0621	515.59	0.0619	516.96
8	0.0634	1008.98	0.0644	993.26	0.0620	1031.82	0.0618	1036.16
16	0.0645	1985.95	0.0644	1986.79	0.0636	2013.93	0.0622	2059.46
32	0.0658	3889.50	0.0651	3932.04	0.0673	3803.56	0.0625	4093.60
