Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0066	112.93	0.0069	108.58	0.0064	116.69	0.0064	116.01
2	0.0068	219.34	0.0068	218.23	0.0065	227.99	0.0066	227.44
4	0.0069	432.78	0.0068	437.48	0.0067	446.16	0.0066	448.91
8	0.0073	820.94	0.0070	854.10	0.0072	832.90	0.0070	852.59
16	0.0081	1476.41	0.0072	1649.40	0.0078	1532.80	0.0077	1553.90
32	0.0096	2486.43	0.0073	3275.73	0.0091	2613.38	0.0093	2571.93
