Locales 	Average time =	Average rate =
1	0.1501	14.89
2	0.1132	39.49
4	0.1168	76.53
8	0.1204	148.51
16	0.1229	291.00
32	0.1262	566.77
64	0.1306	1095.38
128	0.1367	2093.44
256	0.1436	3985.30
