Locales 	cumsum Average time =	cumsum Average rate =	cumprod Average time =	cumprod Average rate =
1	0.2739	5.44	0.2540	5.87
2	0.2958	10.08	0.2871	10.38
4	0.2765	21.55	0.2991	19.93
8	0.2832	42.09	0.3096	38.51
16	0.3100	76.92	0.3156	75.55
32	0.3270	145.82	0.3366	141.67
64	0.3621	263.39	0.3784	252.03
128	0.4344	439.06	0.4507	423.22
256	0.5965	639.51	0.6070	628.42
