Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0620	128.93	0.0624	128.17	0.0613	130.61	0.0614	130.22
2	0.0623	256.71	0.0634	252.17	0.0617	259.51	0.0618	258.96
4	0.0624	512.57	0.0638	501.54	0.0618	517.76	0.0620	516.36
8	0.0625	1023.61	0.0639	1001.00	0.0618	1035.00	0.0621	1030.95
16	0.0628	2039.39	0.0644	1987.21	0.0623	2053.00	0.0625	2046.98
32	0.0626	4088.95	0.0641	3993.77	0.0623	4112.35	0.0623	4107.58
64	0.0629	8143.88	0.0641	7992.18	0.0622	8229.92	0.0622	8234.15
128	0.0664	15416.42	0.0640	15994.01	0.0623	16434.72	0.0622	16468.31
256	0.0729	28095.83	0.0673	30418.91	0.0696	29436.54	0.0738	27738.46
