Locales 	Average time =	Average rate =
1	0.2183	10.24
2	0.4153	10.76
4	0.5141	17.39
8	0.6127	29.19
16	0.7024	50.91
32	0.7734	92.48
64	0.8418	169.93
128	0.9935	287.97
256	1.4389	397.68
