Locales 	Average time =	Average rate =
1	2.7972	8.58
2	4.7350	10.14
4	5.8433	16.43
8	6.8816	27.90
16	7.7641	49.46
32	8.1635	94.08
64	8.5484	179.68
128	9.0105	340.93
256	9.7237	631.86
