Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0063	117.47	0.0063	117.61	0.0062	119.72	0.0063	119.19
2	0.0067	223.37	0.0068	218.00	0.0065	228.62	0.0065	227.76
4	0.0067	447.14	0.0067	445.29	0.0065	458.88	0.0065	460.65
8	0.0067	893.61	0.0068	875.50	0.0066	903.05	0.0066	906.40
16	0.0067	1779.20	0.0068	1746.14	0.0066	1798.31	0.0066	1804.21
32	0.0068	3507.32	0.0069	3451.37	0.0067	3582.00	0.0067	3577.52
64	0.0074	6414.95	0.0069	6872.14	0.0067	7139.54	0.0067	7123.69
128	0.0090	10581.87	0.0082	11632.47	0.0075	12661.43	0.0075	12750.56
256	0.0099	19202.00	0.0088	21586.71	0.0088	21577.40	0.0081	23512.81
