Locales 	cumsum Average time =	cumsum Average rate =	cumprod Average time =	cumprod Average rate =
1	2.7066	5.91	2.6651	6.00
2	2.1211	15.09	2.5382	12.61
4	2.3119	27.68	2.5197	25.40
8	2.2690	56.41	2.4829	51.55
16	2.3757	107.76	2.5482	100.46
32	2.3534	217.55	2.6253	195.03
64	2.1586	474.37	2.6259	389.97
128	2.2498	910.32	2.7515	744.32
256	2.6913	1521.93	2.8332	1445.71
