Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0066	112.84	0.0067	111.53	0.0063	118.12	0.0064	115.99
2	0.0067	223.23	0.0068	219.19	0.0066	227.26	0.0066	226.08
4	0.0069	433.51	0.0069	432.62	0.0066	450.97	0.0067	447.89
8	0.0073	813.71	0.0070	845.63	0.0071	844.68	0.0071	843.86
16	0.0082	1457.34	0.0073	1623.10	0.0078	1527.25	0.0077	1555.81
32	0.0096	2490.36	0.0073	3259.17	0.0092	2592.97	0.0091	2619.68
