Locales 	cumsum Average time =	cumsum Average rate =	cumprod Average time =	cumprod Average rate =
1	0.2427	6.14	0.2456	6.07
2	0.2741	10.87	0.2885	10.33
4	0.2982	19.99	0.3251	18.33
8	0.3102	38.43	0.3308	36.04
16	0.3512	67.89	0.3640	65.50
32	0.4285	111.28	0.4414	108.03
