Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0623	128.48	0.0637	125.50	0.0616	129.89	0.0615	129.99
2	0.0629	254.32	0.0638	250.87	0.0616	259.79	0.0617	259.12
4	0.0631	506.77	0.0642	498.74	0.0619	516.72	0.0616	519.06
8	0.0636	1006.89	0.0646	990.47	0.0622	1028.68	0.0620	1032.57
16	0.0644	1987.47	0.0650	1970.46	0.0638	2006.73	0.0621	2060.17
32	0.0659	3884.60	0.0653	3919.54	0.0647	3959.27	0.0622	4118.28
