Locales 	Average time =	Average rate =
1	0.5578	4.01
2	1.1086	4.03
4	1.5930	5.61
8	1.8399	9.72
16	1.9629	18.22
32	2.0304	35.23
64	2.0606	69.42
128	2.0968	136.45
256	2.1107	271.10
512	2.1408	534.56
