Locales 	Average time =	Average rate =
1	1.6988	0.4386
2	2.3387	0.6371
4	2.7766	1.0734
8	2.9861	1.9961
16	3.3324	3.5773
32	3.4409	6.9289
64	3.6010	13.2419
128	3.9128	24.3735
256	4.7970	39.7610
512	6.7112	56.8406
