Locales 	Average time =	Average rate =
1	0.1838	12.16
2	0.3975	11.25
4	0.5067	17.64
8	0.5857	30.53
16	0.6927	51.63
32	0.7486	95.54
64	0.8168	175.14
128	0.8893	321.73
256	1.0692	535.17
512	1.3183	868.12
