Locales 	Average time =	Average rate =
1	38.1611	5.03
2	46.1211	8.33
4	41.2771	18.61
8	45.5651	33.71
16	49.6661	61.85
32	50.7890	120.97
64	51.5000	240.60
128	53.0791	463.01
240	53.6860	851.17
