Locales 	Average time =	Average rate =
1	2.5469	75.38
2	2.5979	147.81
4	2.6230	292.80
8	2.6570	578.11
16	2.6990	1138.20
32	2.7099	2267.21
64	2.7499	4468.55
128	2.8220	8708.82
240	2.8530	16016.74
