Locales 	Average time =	Average rate =
1	1.4411	16.65
2	2.0021	23.97
4	2.4792	38.72
8	2.5671	74.79
16	2.6181	146.67
32	2.7741	276.84
64	3.3241	462.08
128	3.9303	781.62
240	4.9472	1154.59
