Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0033	226.63	0.0030	244.51	0.0030	249.78	0.0030	245.61
2	0.0036	412.06	0.0032	465.52	0.0034	439.93	0.0033	450.74
4	0.0038	780.71	0.0031	966.63	0.0035	855.01	0.0034	867.65
8	0.0044	1348.93	0.0035	1720.36	0.0041	1444.24	0.0042	1425.65
16	0.0057	2085.64	0.0033	3663.05	0.0054	2217.70	0.0053	2250.29
32	0.0078	3045.30	0.0039	6141.25	0.0075	3165.59	0.0075	3194.55
