Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0283	282.91	0.0259	308.88	0.0261	306.99	0.0260	308.05
2	0.0291	549.56	0.0261	614.02	0.0264	606.38	0.0265	604.88
4	0.0294	1087.06	0.0261	1227.73	0.0267	1198.99	0.0266	1203.42
8	0.0300	2135.64	0.0263	2434.83	0.0273	2343.49	0.0273	2340.53
16	0.0313	4093.22	0.0261	4898.14	0.0286	4477.32	0.0288	4443.41
32	0.0337	7607.37	0.0264	9706.84	0.0309	8288.37	0.0306	8356.88
