Locales 	Average time =	Average rate =
1	0.1574	14.20
2	0.1147	38.98
4	0.1156	77.32
8	0.1222	146.28
16	0.1226	291.66
32	0.1272	562.15
64	0.1318	1085.01
128	0.1359	2105.27
256	0.1441	3969.94
