Locales 	cumsum Average time =	cumsum Average rate =	cumprod Average time =	cumprod Average rate =
1	2.6382	6.06	2.6110	6.13
2	2.1243	15.06	2.5559	12.52
4	2.0433	31.32	2.5559	25.04
8	2.0512	62.40	2.6044	49.15
16	2.1404	119.60	2.6277	97.43
32	2.1502	238.12	2.5896	197.72
64	2.1934	466.86	2.7420	373.45
128	2.2443	912.54	2.8414	720.77
256	2.3916	1712.67	2.9288	1398.54
