Locales 	Average time =	Average rate =
1	0.1749	12.78
2	0.3945	11.33
4	0.5217	17.14
8	0.6147	29.09
16	0.6514	54.90
32	0.7453	95.96
64	0.8359	171.14
128	0.9169	312.04
256	1.1502	497.50
