Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0064	116.43	0.0064	117.09	0.0062	119.28	0.0062	119.24
2	0.0067	221.54	0.0067	221.45	0.0065	227.90	0.0065	228.72
4	0.0067	446.05	0.0066	449.79	0.0065	458.94	0.0065	456.18
8	0.0067	888.27	0.0069	863.10	0.0066	901.14	0.0066	903.12
16	0.0066	1805.55	0.0068	1756.69	0.0065	1825.86	0.0065	1837.87
32	0.0068	3523.92	0.0070	3412.95	0.0066	3586.93	0.0067	3570.90
64	0.0069	6862.12	0.0070	6807.85	0.0067	7087.59	0.0067	7090.90
128	0.0085	11216.58	0.0084	11308.70	0.0082	11564.20	0.0070	13603.28
256	0.0093	20604.22	0.0091	20872.02	0.0090	21136.90	0.0088	21655.18
