Locales 	Average time =	Average rate =
1	0.5461	4.09
2	1.0960	4.08
4	1.5723	5.69
8	1.8326	9.76
16	1.9626	18.22
32	2.0248	35.32
64	2.0638	69.31
128	2.0890	136.95
256	2.1031	272.08
