Locales 	cumsum Average time =	cumsum Average rate =	cumprod Average time =	cumprod Average rate =
1	0.2771	5.38	0.2558	5.83
2	0.2963	10.06	0.2900	10.28
4	0.2738	21.77	0.3057	19.50
8	0.2815	42.35	0.3130	38.09
16	0.3038	78.49	0.3189	74.75
32	0.3260	146.29	0.3399	140.30
64	0.3594	265.38	0.3776	252.54
128	0.4338	439.71	0.4472	426.53
256	0.5857	651.34	0.6006	635.13
