Locales 	Average time =	Average rate =
1	0.0570	0.0086
2	0.0999	0.0098
4	0.1093	0.0179
8	0.1219	0.0320
16	0.1499	0.0521
32	0.2199	0.0710
64	0.3756	0.0832
128	0.9606	0.0651
240	1.5882	0.0738
