Locales 	Average time =	Average rate =
1	50.4021	3.81
2	51.6991	7.43
4	45.9290	16.72
8	41.0639	37.41
16	59.0421	52.03
32	64.2510	95.62
64	62.8549	195.50
128	63.3130	388.17
240	66.1971	696.10
