Locales 	Average time =	Average rate =
1	15.1581	12.67
2	17.2395	22.27
4	15.4527	49.70
8	16.3921	93.70
16	16.5303	185.84
32	16.7452	366.91
64	17.7951	690.53
128	19.0191	1292.17
240	20.7871	2216.76
