Locales 	Average time =	Average rate =
1	2.1249	11.29
2	4.0091	11.97
4	5.3625	17.90
8	5.8143	33.02
16	6.7168	57.17
32	7.8269	98.12
64	8.5483	179.68
128	8.8585	346.78
256	9.3486	657.21
