Locales 	Average time =	Average rate =
1	1.7044	0.4371
2	2.3832	0.6253
4	2.7690	1.0763
8	2.9741	2.0041
16	3.3054	3.6065
32	3.4152	6.9811
64	3.5483	13.4385
128	3.8714	24.6338
256	4.9541	38.5008
