Locales 	Average time =	Average rate =
1	0.3719	64.53
2	0.3850	124.68
4	0.3920	244.93
8	0.3969	483.77
16	0.4169	920.98
32	0.4179	1837.60
64	0.4439	3460.05
128	0.4739	6482.07
240	0.4809	11976.79
