Locales 	Average time =	Average rate =
1	1.6841	14.25
2	2.3239	20.65
4	2.3239	41.31
8	2.2320	86.02
16	2.2420	171.28
32	2.3810	322.56
64	2.5951	591.88
128	3.2330	950.20
240	4.5100	1277.17
