Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0033	226.21	0.0030	248.15	0.0030	246.22	0.0031	242.92
2	0.0036	411.67	0.0031	477.93	0.0033	455.29	0.0033	451.63
4	0.0040	744.31	0.0032	933.25	0.0037	815.47	0.0036	832.21
8	0.0045	1321.90	0.0032	1871.30	0.0042	1403.23	0.0043	1370.88
16	0.0057	2076.92	0.0040	2957.12	0.0052	2278.61	0.0053	2249.08
32	0.0079	3017.99	0.0044	5412.33	0.0073	3251.49	0.0073	3247.25
