Locales 	cumsum Average time =	cumsum Average rate =	cumprod Average time =	cumprod Average rate =
1	0.0418	35.61	0.0420	35.47
2	0.0479	62.19	0.0467	63.77
4	0.0625	95.31	0.0595	100.14
8	0.0740	161.12	0.0715	166.74
16	0.1294	184.20	0.1147	207.82
32	0.1920	248.39	0.1825	261.28
