Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0286	280.07	0.0260	307.46	0.0260	307.97	0.0259	308.75
2	0.0290	551.98	0.0261	612.69	0.0264	605.45	0.0263	608.52
4	0.0295	1083.81	0.0262	1219.76	0.0267	1200.56	0.0267	1199.18
8	0.0300	2136.77	0.0262	2439.08	0.0272	2356.06	0.0271	2357.86
16	0.0314	4082.14	0.0261	4900.69	0.0282	4541.82	0.0285	4484.43
32	0.0338	7569.24	0.0301	8493.52	0.0311	8232.07	0.0315	8134.41
