Locales 	Average time =	Average rate =
1	0.3690	65.05
2	0.3820	125.67
4	0.3890	246.81
8	0.3980	482.43
16	0.4090	938.95
32	0.4169	1842.00
64	0.4339	3539.64
128	0.4750	6467.99
240	0.4889	11683.07
