Locales 	Average time =	Average rate =
1	1.4560	16.48
2	2.3230	20.66
4	2.5101	38.25
8	2.3360	82.19
16	2.3980	160.13
32	2.4221	317.08
64	3.0421	504.91
128	3.6130	850.26
240	4.6990	1215.57
