Locales 	Average time =	Average rate =
1	3.6032	2.2202
2	5.5988	2.8577
4	8.0941	3.9535
8	10.0849	6.3461
16	12.5132	10.2292
32	12.2038	20.9770
64	17.2009	29.7659
128	81.0432	12.6352
240	272.809	5.6860
