Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0065	114.53	0.0066	113.49	0.0063	118.57	0.0063	118.42
2	0.0068	218.17	0.0068	218.02	0.0066	224.37	0.0067	223.81
4	0.0070	424.91	0.0069	432.86	0.0068	438.37	0.0068	440.56
8	0.0073	821.36	0.0070	848.41	0.0072	827.31	0.0070	849.05
16	0.0082	1459.21	0.0070	1697.90	0.0078	1522.57	0.0077	1556.98
32	0.0094	2531.23	0.0072	3310.82	0.0090	2652.00	0.0090	2644.34
