Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0623	128.32	0.0635	125.91	0.0616	129.94	0.0616	129.79
2	0.0631	253.73	0.0640	249.86	0.0618	259.09	0.0617	259.23
4	0.0633	505.51	0.0641	499.23	0.0621	515.60	0.0617	518.35
8	0.0634	1008.92	0.0643	995.06	0.0623	1027.57	0.0622	1029.13
16	0.0665	1926.24	0.0672	1905.28	0.0630	2030.63	0.0620	2063.48
32	0.0658	3892.77	0.0648	3949.95	0.0658	3888.78	0.0626	4086.83
