Locales 	Average time =	Average rate =
1	0.0911	0.0001
2	0.2581	0.0001
8	0.5690	0.0001
32	1.2447	0.0002
64	2.6690	0.0002
128	5.2633	0.0002
256	10.7029	0.0002
512	21.6205	0.0002
576	26.1563	0.0002
