Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0284	281.82	0.0261	306.90	0.0260	307.44	0.0259	308.65
2	0.0292	547.27	0.0261	613.33	0.0264	605.74	0.0264	606.62
4	0.0293	1092.60	0.0261	1226.46	0.0264	1212.22	0.0267	1198.86
8	0.0300	2135.95	0.0265	2418.03	0.0274	2337.90	0.0274	2335.87
16	0.0314	4075.39	0.0261	4906.34	0.0287	4460.43	0.0286	4477.28
32	0.0336	7626.39	0.0262	9763.42	0.0312	8193.63	0.0305	8406.47
