Locales 	sum Average time =	sum Average rate =	prod Average time =	prod Average rate =	min Average time =	min Average rate =	max Average time =	max Average rate =
1	0.0033	224.70	0.0030	248.62	0.0030	245.92	0.0030	246.13
2	0.0037	406.33	0.0032	459.24	0.0033	445.01	0.0033	449.26
4	0.0039	770.01	0.0032	932.35	0.0036	825.54	0.0036	816.58
8	0.0044	1344.44	0.0035	1706.08	0.0041	1439.46	0.0042	1411.79
16	0.0057	2093.80	0.0035	3368.48	0.0054	2216.39	0.0053	2255.84
32	0.0080	2988.81	0.0037	6420.00	0.0090	2643.61	0.0074	3212.89
