Locales 	Average time =	Average rate =
1	4.9988	1.6004
2	8.7529	1.8280
4	11.1559	2.8684
8	12.3399	5.1864
16	12.9809	9.8606
32	13.8368	18.5013
64	13.8819	36.8826
128	14.9108	67.1721
240	15.9219	120.5890
