Locales 	Average time =	Average rate =
1	1.9948	0.3735
2	4.0794	0.3653
4	5.8506	0.5094
8	6.5841	0.9053
16	7.2736	1.6389
32	7.7894	3.0608
64	8.2475	5.7816
128	8.3339	11.4432
256	8.9452	21.3226
512	10.4134	36.6328
