Locales 	Average time =	Average rate =
1	0.3925	5.69
2	0.8805	5.08
4	1.1688	7.65
8	1.3038	13.71
16	1.3871	25.78
32	1.4685	48.71
64	1.4816	96.55
128	1.4835	192.85
256	1.5096	379.04
512	1.5157	755.02
