Locales 	Average time =	Average rate =
1	0.4998	4.47
2	1.0964	4.08
4	1.5816	5.65
8	1.8313	9.76
16	1.9559	18.28
32	2.0373	35.11
64	2.0959	68.25
128	2.1811	131.17
256	2.2983	248.97
512	2.5535	448.18
