Locales 	Average time =	Average rate =
1	0.1746	12.80
2	0.3555	12.57
4	0.4464	20.03
8	0.5439	32.88
16	0.5791	61.76
32	0.6595	108.46
64	0.7275	196.64
128	0.8149	351.08
256	1.0827	528.51
