Locales 	Average time =	Average rate =
1	17.5833	0.4550
2	24.3463	0.6572
4	23.3181	1.3723
8	24.8976	2.5705
16	26.7676	4.7819
32	27.6898	9.2453
64	28.3094	18.0858
128	30.6163	33.4462
256	33.3089	61.4851
